udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
1908,L49087,L,297.9,307.6,1504,42.4,180,No Failure
4810,L51989,L,303.4,312.2,1656,32.7,195,No Failure
740,L47919,L,296.9,308.4,1390,41.8,184,No Failure
393,M15252,M,297.6,308.5,1490,43.4,154,No Failure
8503,H37916,H,298.6,309.8,1279,55.9,152,No Failure
1658,M16517,M,298.1,308,1374,48.8,156,No Failure
4142,H33555,H,301.7,310.1,1462,38.3,49,No Failure
4294,L51473,L,301.8,310,1393,44.9,208,No Failure
5759,L52938,L,301.9,311.3,1501,40.8,59,No Failure
8711,L55890,L,297.1,308.5,1712,32.1,48,No Failure
7853,L55032,L,300.3,311.7,1515,37.5,5,No Failure
2344,L49523,L,299.1,308.3,1305,61.4,17,No Failure
584,H29997,H,297.7,309.6,1697,32.2,210,No Failure
9813,M24672,M,298.2,309.1,1411,45.8,157,No Failure
3208,M18067,M,300.2,309,1642,31.2,37,No Failure
1064,M15923,M,296.8,307.8,1664,32.8,142,No Failure
6629,L53808,L,301.6,310.5,1593,34.5,102,No Failure
2631,L49810,L,300,309.8,1372,39.6,105,No Failure
6783,L53962,L,301.3,310.8,1531,53.4,57,No Failure
1742,M16601,M,298.5,308,1363,49.2,149,No Failure
8710,L55889,L,297.1,308.5,1578,35.6,46,No Failure
2444,L49623,L,299.1,308.5,1647,35,74,No Failure
9222,M24081,M,297.8,309,1675,30,110,No Failure
5403,L52582,L,302.7,312.3,1421,48.5,0,No Failure
5040,H34453,H,304.1,313.3,1689,32.5,134,No Failure
6987,L54166,L,300.7,311.1,1688,30.7,161,No Failure
2039,L49218,L,299,308.8,1405,55.2,103,No Failure
7581,L54760,L,300.4,311.3,1495,51.2,175,No Failure
214,L47393,L,298.4,308.7,1386,44.9,135,No Failure
5613,L52792,L,303,312.3,1486,42.4,112,No Failure
3618,L50797,L,301.8,311,1529,41.6,12,No Failure
4755,M19614,M,303.3,311.5,1384,54.8,48,No Failure
9429,H38842,H,298.2,308.8,1837,28.4,34,No Failure
5152,L52331,L,304.3,313.6,1409,56,19,No Failure
4240,L51419,L,302.3,311,1446,37.6,75,No Failure
2184,M17043,M,299.6,309.3,1577,39.8,48,No Failure
2010,M16869,M,298.6,308.3,1717,28.7,29,No Failure
5690,L52869,L,302.4,311.8,1543,31.1,96,No Failure
3205,L50384,L,300.1,309,1404,54.8,29,No Failure
1479,L48658,L,298.3,309.4,1568,35.8,140,No Failure
8899,L56078,L,297.4,308.6,1532,38.7,136,No Failure
501,M15360,M,297.5,309.2,1804,27.4,215,No Failure
1738,L48917,L,298.4,307.9,1743,27.3,134,No Failure
8176,M23035,M,299.9,311.3,1445,41.2,169,No Failure
9383,L56562,L,297.5,308.2,1610,33.6,115,No Failure
2340,L49519,L,299.2,308.2,1466,41.3,8,No Failure
8908,M23767,M,297.2,308.6,1404,43.7,160,No Failure
2276,L49455,L,299.3,308.6,1605,37,78,No Failure
5387,L52566,L,302.9,312.2,1469,42,214,No Failure
1800,M16659,M,298,307.5,1427,45.1,95,No Failure
1306,L48485,L,298.8,310,1672,30.4,150,No Failure
3754,L50933,L,302.2,311,1463,46.8,150,No Failure
1912,M16771,M,298.1,307.8,1316,57.2,191,No Failure
5611,L52790,L,303.1,312.4,1407,41.2,107,No Failure
7045,M21904,M,300.7,310.6,1505,35.6,105,No Failure
6899,M21758,M,301,311.6,1448,43.9,145,No Failure
5003,L52182,L,303.7,312.8,1627,31.7,40,No Failure
6502,M21361,M,300.9,310,1600,36,204,No Failure
1258,L48437,L,297.5,308.9,1466,43,15,No Failure
8632,H38045,H,297.3,308.3,1506,37,54,No Failure
5520,L52699,L,302.5,311.9,1452,47.4,77,No Failure
2437,H31850,H,299,308.2,1662,30.4,55,No Failure
3503,M18362,M,301.8,310.9,1346,44.6,142,No Failure
2328,M17187,M,299.3,308.7,1420,50.3,208,No Failure
3438,L50617,L,301.5,310.5,2297,15.8,191,No Failure
6957,M21816,M,300.8,311.2,1434,39.1,82,No Failure
5631,M20490,M,302.8,312.2,1615,32.9,159,No Failure
8934,M23793,M,297.3,308.3,1544,41.7,6,No Failure
3388,M18247,M,301.6,310.8,1290,65.3,63,Power Failure
832,M15691,M,296.6,307.4,1544,42.3,170,No Failure
7974,L55153,L,301.1,312.3,1682,29.7,83,No Failure
1609,L48788,L,297.8,307.7,1393,38,29,No Failure
9164,L56343,L,297.6,308.6,1415,47.3,169,No Failure
700,H30113,H,297.5,308.7,1416,39.2,74,No Failure
9054,M23913,M,297.4,308.5,1638,32.2,84,No Failure
427,L47606,L,297.4,308.5,1501,44.9,20,No Failure
8485,L55664,L,298.4,309.5,1397,50.3,110,No Failure
8802,L55981,L,297.4,308.6,1488,36.4,71,No Failure
3513,M18372,M,301.8,311,1393,49.5,168,No Failure
6343,M21202,M,300.3,309.8,1444,42,3,No Failure
9334,L56513,L,298.5,309,1450,40.5,199,No Failure
2409,L49588,L,299,308.4,1356,52.6,188,No Failure
835,H30248,H,296.6,307.4,1333,50.2,177,No Failure
5984,H35397,H,300.8,310.8,1466,45.2,188,No Failure
6169,M21028,M,300.7,310.6,1778,27.1,215,No Failure
1501,M16360,M,298,308.7,2101,17.4,198,No Failure
5051,H34464,H,304,313,1701,30.4,171,No Failure
9461,M24320,M,298.4,309.2,1399,45.2,125,No Failure
1534,M16393,M,298,308.9,1339,51.4,68,No Failure
8548,M23407,M,298.4,309.4,1666,24.3,68,No Failure
3521,L50700,L,301.9,311,1669,32.2,191,No Failure
1151,L48330,L,297.1,307.9,1456,50,166,No Failure
8781,M23640,M,297.5,308.6,1327,52.1,24,No Failure
7215,M22074,M,299.9,309.8,1625,41.2,109,No Failure
9486,L56665,L,298.9,309.6,1589,34.2,197,No Failure
6444,L53623,L,300.8,310.3,1537,33.3,52,No Failure
5446,M20305,M,303,312.8,1648,32.1,104,No Failure
8022,M22881,M,301,312,1499,34.6,207,No Failure
6594,L53773,L,301.6,310.7,1679,29.5,10,No Failure
7873,L55052,L,300.6,312.3,1532,37.2,54,No Failure
9338,H38751,H,298.5,308.9,1500,40.3,207,No Failure
9571,L56750,L,299.7,310.9,1384,48.2,188,No Failure
1975,L49154,L,298,307.6,1450,48.7,138,No Failure
5896,M20755,M,301.2,310.9,1460,46.7,166,No Failure
6764,M21623,M,301.4,310.8,1782,26.5,6,No Failure
2368,M17227,M,299.3,308.5,1496,39.4,80,No Failure
8920,L56099,L,297.2,308.3,1693,28,188,No Failure
6026,L53205,L,300.7,311,1336,53.3,68,No Failure
4348,H33761,H,301.9,309.8,1724,27.5,126,No Failure
3787,L50966,L,302.3,310.9,1587,36.6,20,No Failure
5789,L52968,L,301.8,311.5,1443,43.3,134,No Failure
7131,L54310,L,300.6,309.9,1428,48.8,109,No Failure
4931,L52110,L,303.4,312.3,1663,33.9,78,No Failure
4148,L51327,L,301.9,310.3,1398,44,65,No Failure
7297,H36710,H,300,310.4,1881,21.9,102,No Failure
1864,M16723,M,297.9,307.7,1517,39.5,69,No Failure
8379,M23238,M,298.8,309.9,1331,61.6,46,No Failure
9432,L56611,L,298,308.6,1430,57,43,No Failure
1852,M16711,M,297.7,307.3,1365,49.2,36,No Failure
5251,L52430,L,303.5,312.9,1332,52.9,66,No Failure
6039,L53218,L,300.7,311,1496,38.3,99,No Failure
2222,L49401,L,299.6,309,1372,60.4,149,No Failure
417,L47596,L,297.4,308.5,1495,37.8,211,No Failure
1223,L48402,L,297,308.3,1399,59,135,No Failure
5101,M19960,M,304.2,313.5,1437,47.2,102,No Failure
1652,L48831,L,298,307.8,1414,51.7,140,No Failure
810,L47989,L,296.9,307.6,1452,45.7,122,No Failure
3732,M18591,M,302.2,311.2,1377,43,91,No Failure
797,M15656,M,296.9,307.9,2010,18.9,86,No Failure
7809,L54988,L,299.9,311.4,1627,36.7,118,No Failure
8347,L55526,L,298.7,309.7,1601,35.7,176,No Failure
5368,M20227,M,303.1,312.5,1766,26.7,157,No Failure
989,H30402,H,296.3,307.1,1774,25.9,154,No Failure
9197,L56376,L,298,308.9,1607,37.7,49,No Failure
9260,M24119,M,298.2,309,1694,28,5,No Failure
5293,M20152,M,303.9,313.3,1567,35,168,No Failure
261,M15120,M,298.2,308.3,1522,49.1,22,No Failure
5248,L52427,L,303.6,313.1,1405,38.3,58,No Failure
3235,L50414,L,300.8,309.4,1489,38.4,109,No Failure
6301,L53480,L,301.2,310.7,1517,39.4,107,No Failure
5202,M20061,M,303.7,312.7,1396,47.3,158,No Failure
3746,L50925,L,302.6,311.4,1738,25.8,128,No Failure
6293,L53472,L,301,310.4,1614,31.6,84,No Failure
8281,L55460,L,298.8,310.6,1602,39.1,211,No Failure
2191,M17050,M,299.6,309.1,1471,44.3,67,No Failure
6440,L53619,L,300.6,310.1,1656,32.7,44,No Failure
2336,L49515,L,299.2,308.4,1509,39.4,0,No Failure
4019,M18878,M,302,310.8,1783,23.1,190,No Failure
3129,M17988,M,300.1,309.5,1462,42.8,50,No Failure
5429,L52608,L,302.7,312.4,1453,47.3,62,No Failure
4561,L51740,L,302.7,310.7,1597,41.9,15,No Failure
6254,L53433,L,300.9,310.4,1615,30.9,200,No Failure
2228,L49407,L,299.5,308.8,1965,20.4,164,No Failure
5900,H35313,H,300.9,310.6,1686,27.7,176,No Failure
2306,H31719,H,299.2,308.5,1342,47.5,147,No Failure
5998,M20857,M,300.5,310.2,1571,34.6,228,No Failure
4355,L51534,L,302,309.8,1456,58.1,145,No Failure
5224,M20083,M,303.9,313.2,1350,47.2,2,No Failure
3349,M18208,M,301.3,310.7,1532,40.7,178,No Failure
3431,H32844,H,301.6,310.6,1821,26.2,171,No Failure
1607,L48786,L,297.8,307.7,1505,39.7,25,No Failure
4178,L51357,L,302.5,310.9,1477,39.2,144,No Failure
9240,H38653,H,298.2,308.8,1436,51.9,153,No Failure
6479,L53658,L,300.5,309.8,1663,29.1,145,No Failure
7533,M22392,M,300,311.3,1629,32.1,55,No Failure
6582,L53761,L,301.4,310.4,1559,36,196,No Failure
833,L48012,L,296.6,307.4,1521,38.6,173,No Failure
9088,L56267,L,297.1,307.8,1681,27.6,181,No Failure
1348,L48527,L,298.7,310.2,1717,27.3,26,No Failure
7797,L54976,L,300.1,311.5,1454,52.4,90,No Failure
3526,L50705,L,301.8,310.9,1609,31.7,202,No Failure
3502,H32915,H,301.9,311,1291,63.6,137,No Failure
3809,M18668,M,302.3,310.9,1762,24.5,73,No Failure
4530,M19389,M,302.4,310.4,1586,34.3,149,No Failure
6009,L53188,L,300.7,310.7,1431,39.3,22,No Failure
4338,L51517,L,301.6,309.9,1440,43.4,100,No Failure
3512,L50691,L,301.8,311,1322,53,166,No Failure
4041,L51220,L,302,310.8,1767,27.4,11,No Failure
2592,L49771,L,298.9,308.6,1522,46.4,2,No Failure
3489,L50668,L,301.9,310.9,1379,54.8,99,No Failure
2959,M17818,M,300.8,309.5,1481,44.5,49,No Failure
7795,M22654,M,300.2,311.6,1415,55.8,82,No Failure
3507,H32920,H,301.6,310.8,1435,47.2,152,No Failure
7014,M21873,M,300.4,310.4,1544,36.3,21,No Failure
9423,L56602,L,298.1,308.5,1665,29.6,20,No Failure
7828,M22687,M,299.8,311.1,1452,44.3,167,No Failure
8164,L55343,L,299.7,311.1,1574,36.4,135,No Failure
6971,L54150,L,300.7,311,1436,44.9,119,No Failure
7969,L55148,L,300.9,312.2,1811,23.2,72,No Failure
5756,L52935,L,302.1,311.4,1391,49.2,52,No Failure
2738,M17597,M,299.7,309.1,1508,41.2,152,No Failure
2453,M17312,M,299.1,308.6,2329,14.6,95,No Failure
4659,L51838,L,303.1,311.2,1679,34.8,25,No Failure
4403,H33816,H,302.3,310.2,1506,33.8,43,No Failure
5790,M20649,M,301.8,311.5,1416,49,136,No Failure
1673,L48852,L,298.1,307.8,1432,49.8,198,No Failure
5054,L52233,L,303.8,312.9,1514,34.3,180,No Failure
4474,L51653,L,302.7,310.5,1551,35.9,6,No Failure
7798,L54977,L,300,311.4,1476,39,92,No Failure
8578,L55757,L,297.6,308.3,1502,43.2,139,No Failure
1317,L48496,L,299,310.3,1507,36.7,173,No Failure
6232,M21091,M,301.3,311,1495,40.8,148,No Failure
8262,H37675,H,299.2,310.6,1434,48.4,153,No Failure
9945,L57124,L,298.3,307.9,1399,47.8,99,No Failure
818,L47997,L,296.8,307.6,1368,52,140,No Failure
2382,L49561,L,299.1,308.2,1493,34.9,119,No Failure
8818,H38231,H,297.3,308.6,1376,53.5,112,No Failure
71,M14930,M,298.9,309,1924,22.6,193,No Failure
1267,L48446,L,298,309.6,1633,34.8,41,No Failure
1578,L48757,L,298.3,308.4,1484,43.4,172,No Failure
9213,L56392,L,298,308.9,1390,53.9,88,No Failure
1681,M16540,M,297.9,307.4,1610,34.6,219,No Failure
3967,L51146,L,302.3,311.5,1530,37.8,57,No Failure
1326,H30739,H,298.8,310.1,1567,36.8,197,No Failure
1366,L48545,L,298.7,310.1,1676,33.5,70,No Failure
3677,M18536,M,302.2,311.5,1562,38,162,No Failure
9718,L56897,L,298.9,309.9,1500,44.2,115,No Failure
1091,L48270,L,296.9,307.7,1464,41.4,6,No Failure
2457,L49636,L,299.1,308.6,1555,36.6,104,No Failure
8808,M23667,M,297.4,308.6,1604,32.8,85,No Failure
6834,L54013,L,301.1,311.1,1387,53.1,188,No Failure
5679,M20538,M,302.2,311.7,1584,36.2,63,No Failure
9507,H38920,H,299.3,310.4,1548,41.6,25,No Failure
9274,H38687,H,298.2,308.7,1520,35.7,40,No Failure
4020,M18879,M,302,310.9,1558,45.3,193,No Failure
656,L47835,L,297.7,309.1,1435,38.8,165,No Failure
1772,L48951,L,298.4,307.9,1446,45.3,23,No Failure
3111,H32524,H,299.9,309.2,1525,33.2,0,No Failure
6290,L53469,L,301,310.5,1248,61.4,77,No Failure
5657,M20516,M,302.3,311.5,1316,47.2,4,No Failure
1751,M16610,M,298.4,307.8,1617,31.6,173,No Failure
75,L47254,L,298.9,309,1601,32.3,202,No Failure
5661,L52840,L,302.2,311.4,1477,41.7,15,No Failure
1928,H31341,H,298,307.8,1314,47.8,19,No Failure
1543,L48722,L,298.3,308.9,1379,54.7,91,No Failure
3615,L50794,L,301.8,311,1606,33.3,4,No Failure
8219,L55398,L,299.1,310.5,1485,37.8,46,No Failure
3505,M18364,M,301.7,310.8,1524,41.3,147,No Failure
5339,M20198,M,303.3,312.5,1674,32.7,76,No Failure
6380,L53559,L,300.1,309.7,1485,45.9,100,No Failure
1964,L49143,L,297.7,307.5,1379,43.3,111,No Failure
2129,L49308,L,299.4,309,1800,24.3,128,No Failure
2241,L49420,L,299.2,308.5,1457,44.7,195,No Failure
3667,M18526,M,302.3,311.6,1608,39.9,136,No Failure
6714,L53893,L,301.3,310.6,1416,45.2,88,No Failure
6389,H35802,H,300.3,309.9,1509,46.6,125,No Failure
2593,L49772,L,298.9,308.6,1539,45.4,4,No Failure
171,M15030,M,298.4,308.2,1610,35,24,No Failure
5841,M20700,M,301.3,311.1,1581,30.9,31,No Failure
2097,M16956,M,299.5,309.4,1387,56.2,32,No Failure
9624,L56803,L,298.9,310.1,1356,47.8,116,No Failure
5267,M20126,M,303.4,312.8,1518,38.7,103,No Failure
3251,H32664,H,301.2,309.8,1709,27,151,No Failure
9859,L57038,L,298.5,309.5,1547,33.1,68,No Failure
5139,M19998,M,304.3,313.6,1489,40.3,196,No Failure
3206,M18065,M,300.1,308.9,1548,38.4,31,No Failure
9780,L56959,L,298.8,309.8,1509,36.2,57,No Failure
3586,L50765,L,301.9,310.7,1947,25,137,No Failure
3722,M18581,M,302.2,311.2,1544,43.6,63,No Failure
1815,L48994,L,298.1,307.7,1650,34.1,138,No Failure
2346,L49525,L,299.2,308.4,1475,38.7,22,No Failure
6149,L53328,L,301.1,311.2,1564,37,165,No Failure
2707,M17566,M,299.6,309.1,1560,37.1,73,No Failure
5849,L53028,L,301.4,311.3,2323,15.9,50,No Failure
5793,M20652,M,301.8,311.3,1624,31.6,145,No Failure
1310,L48489,L,298.9,310.2,1654,31.1,158,No Failure
5372,L52551,L,302.9,312.3,1435,47.7,173,No Failure
210,L47389,L,298.4,308.6,1477,44,124,No Failure
3443,M18302,M,301.4,310.5,1495,52.5,201,No Failure
2902,L50081,L,300.6,309.4,1425,40.3,103,No Failure
4529,L51708,L,302.5,310.5,1507,39.5,147,No Failure
9505,L56684,L,299.2,310.3,1440,47,21,No Failure
8906,L56085,L,297.3,308.6,1385,55.2,156,No Failure
9649,L56828,L,299.1,310.1,1416,41.2,185,No Failure
2899,M17758,M,300.6,309.5,1550,40.2,96,No Failure
285,L47464,L,298.2,308.3,2051,19.2,90,No Failure
6352,L53531,L,300,309.7,1542,47.1,25,No Failure
3080,L50259,L,300.1,309.3,1340,56,130,No Failure
9157,M24016,M,297.5,308.4,1369,54.8,145,No Failure
1005,H30418,H,296.3,307.2,1424,42,196,No Failure
9602,L56781,L,298.9,310.1,2109,18,61,No Failure
8283,M23142,M,298.9,310.7,1638,33.6,218,No Failure
457,H29870,H,297.3,308.7,1478,47.6,98,No Failure
8683,M23542,M,297.2,308.5,1353,46.5,185,No Failure
7086,L54265,L,300.6,310.3,1484,41,213,No Failure
4231,L51410,L,302.2,310.8,1673,32.9,52,No Failure
8954,L56133,L,297.3,308,1518,36,59,No Failure
6042,M20901,M,300.7,311,1418,49.3,106,No Failure
352,M15211,M,297.6,308.4,1611,31,48,No Failure
399,H29812,H,297.4,308.3,1502,43.6,169,No Failure
3450,L50629,L,301.7,310.7,1605,33.3,220,No Failure
1190,M16049,M,297.2,308.3,1794,27.5,38,No Failure
4307,L51486,L,301.6,310,1869,22.9,18,No Failure
217,L47396,L,298.3,308.6,1499,38.3,142,No Failure
3605,L50784,L,301.8,310.8,1557,33.3,190,No Failure
9060,L56239,L,297.2,308.3,1805,25.6,103,No Failure
7914,L55093,L,300.7,312.1,1395,41.9,157,No Failure
7609,L54788,L,300.5,311.4,1642,27.1,37,No Failure
3048,L50227,L,300.2,309.4,1558,38.3,51,No Failure
3883,L51062,L,302.5,311.6,1419,43.7,39,No Failure
9194,M24053,M,297.9,309,1530,40.9,42,No Failure
6340,L53519,L,300.5,310,1451,48.6,208,No Failure
321,H29734,H,297.8,308.4,1550,38.2,185,No Failure
186,L47365,L,298.2,308.2,1446,38.2,61,No Failure
5565,L52744,L,302.4,311.8,1416,46.1,202,No Failure
3090,H32503,H,300.1,309.3,1520,38.2,158,No Failure
6271,L53450,L,300.9,310.4,2021,18.8,30,No Failure
1839,M16698,M,297.8,307.2,1456,39.6,199,No Failure
2258,L49437,L,299.1,308.3,1892,25.2,34,No Failure
529,M15388,M,297.5,309.5,1553,42.4,60,No Failure
4578,L51757,L,303,311.2,1800,23.7,61,No Failure
4843,M19702,M,303.3,311.8,1489,49.4,64,No Failure
7216,L54395,L,299.9,309.8,1477,47.7,112,No Failure
5208,M20067,M,303.8,312.7,1488,41.3,175,No Failure
2800,L49979,L,300.3,309.6,1404,44.6,87,No Failure
5653,L52832,L,302.4,311.8,1727,26.5,213,No Failure
3802,M18661,M,302.2,310.9,1771,27.6,54,No Failure
2351,L49530,L,299.3,308.6,1744,26.4,33,No Failure
1862,M16721,M,297.9,307.6,1609,30.3,64,No Failure
3731,M18590,M,302.3,311.2,1405,47.7,88,No Failure
822,L48001,L,296.7,307.6,1474,41.7,148,No Failure
7849,H37262,H,300.2,311.6,1547,37.7,217,No Failure
10,M14869,M,298.5,309,1741,28,21,No Failure
9955,M24814,M,298.1,307.9,1446,42.8,121,No Failure
6973,L54152,L,300.7,311,1377,49.9,124,No Failure
5218,M20077,M,303.8,312.8,1420,47.9,200,No Failure
4761,L51940,L,303.6,311.7,1546,38.5,64,No Failure
4743,L51922,L,303.3,311.3,1592,33.7,14,No Failure
6122,L53301,L,300.9,311.1,1457,37.4,96,No Failure
3880,M18739,M,302.6,311.7,1430,51.7,32,No Failure
2240,L49419,L,299.2,308.6,1381,50,193,No Failure
1909,L49088,L,297.9,307.6,1977,20.2,182,No Failure
5470,M20329,M,302.7,312.2,1439,42.5,164,No Failure
8929,L56108,L,297.4,308.4,1531,41.5,213,No Failure
5769,L52948,L,301.7,311.3,1421,45.9,85,No Failure
548,M15407,M,297.5,309.4,1482,39.3,112,No Failure
6940,M21799,M,300.7,311.3,1348,53,35,No Failure
5833,L53012,L,301.3,311.2,1675,32.1,12,No Failure
5711,H35124,H,302.2,311.7,1413,46.5,147,No Failure
9984,L57163,L,298.7,308.4,1694,28.7,195,No Failure
1176,M16035,M,297.2,308.3,1578,37.8,3,No Failure
390,M15249,M,297.6,308.7,1408,54.8,147,No Failure
8769,M23628,M,297.5,308.7,1363,53.6,194,No Failure
216,L47395,L,298.3,308.6,1548,40.3,140,No Failure
3905,H33318,H,302.2,311.1,1426,50.6,101,No Failure
7482,H36895,H,300.2,311.4,1506,36.1,141,No Failure
3520,M18379,M,301.9,310.9,1569,32.5,188,No Failure
9657,L56836,L,299,310.1,1623,33,210,No Failure
7932,L55111,L,300.7,311.7,1499,38.4,205,No Failure
9552,L56731,L,299.4,310.8,1391,48.9,139,No Failure
3102,H32515,H,299.8,309,1467,37.3,193,No Failure
7668,L54847,L,300.6,311.7,1528,43.9,185,No Failure
937,M15796,M,295.6,306.1,1418,46.2,24,No Failure
5453,M20312,M,303,312.7,1553,35.8,122,No Failure
8252,L55431,L,299,310.4,1981,21.2,125,No Failure
6956,L54135,L,300.7,311.2,1399,47.9,80,No Failure
2492,L49671,L,299.1,308.9,1445,43.4,197,No Failure
1438,H30851,H,298.8,309.9,1439,45.2,40,No Failure
3707,L50886,L,302,311.3,1567,41.1,26,No Failure
758,L47937,L,296.9,308.1,1555,33.7,229,No Failure
1456,L48635,L,299,310.4,1382,53,89,No Failure
5835,L53014,L,301.3,311.3,1434,49.8,16,No Failure
5709,L52888,L,302.3,311.7,1611,38.6,143,No Failure
9702,L56881,L,298.8,309.8,1485,42.4,74,No Failure
3943,M18802,M,302.2,311.4,1398,47.2,202,No Failure
6261,L53440,L,301.1,310.7,1436,45.3,8,No Failure
6158,L53337,L,301.1,311.2,1774,29.6,186,No Failure
5762,L52941,L,301.9,311.2,1369,49.8,66,No Failure
4256,M19115,M,302.5,311,1387,52.1,116,No Failure
3979,L51158,L,302.2,311.3,1382,46.4,94,No Failure
1665,L48844,L,298.2,308,1535,38,179,No Failure
9513,L56692,L,299,310.2,1575,37.8,42,No Failure
6585,L53764,L,301.5,310.5,1372,44,203,No Failure
9337,L56516,L,298.5,308.9,1725,31.9,205,No Failure
1027,L48206,L,296.4,307.4,1512,36.8,46,No Failure
4012,L51191,L,302.2,311.1,1447,52.1,174,No Failure
3803,M18662,M,302.2,310.9,1488,44.2,57,No Failure
8366,M23225,M,298.8,309.8,1551,36.6,15,No Failure
4945,M19804,M,303.6,312.7,1765,27.5,115,No Failure
814,L47993,L,296.8,307.6,1513,40,130,No Failure
4604,H34017,H,302.9,311,1452,58.3,123,No Failure
2668,M17527,M,299.8,309.3,1663,35.2,208,No Failure
9339,H38752,H,298.5,309,1531,30.8,212,No Failure
4007,L51186,L,302.1,311.2,1492,45,162,No Failure
8424,L55603,L,299,310.4,1452,46.2,168,No Failure
4914,M19773,M,303.5,312.3,1593,35.2,29,No Failure
9444,H38857,H,298,308.8,1411,53.8,73,No Failure
9621,L56800,L,298.9,310,1470,45.9,109,No Failure
955,H30368,H,295.6,306.2,1414,42.5,69,No Failure
7437,L54616,L,300,311.4,1487,41.2,22,No Failure
5409,L52588,L,302.6,312.4,1628,33,15,No Failure
3407,L50586,L,301.2,310.4,1470,44,113,No Failure
6758,L53937,L,301.8,311.2,1822,26.2,204,No Failure
6556,H35969,H,301.5,310.7,1394,46.7,130,No Failure
4543,M19402,M,302.5,310.4,1581,32.7,181,No Failure
9296,M24155,M,298.2,309,1413,47.9,97,No Failure
2550,L49729,L,299.4,309.2,1489,42.3,114,No Failure
282,L47461,L,298.1,308,1626,36.5,83,No Failure
3553,M18412,M,301.8,310.9,1358,52.3,56,No Failure
6218,M21077,M,301,310.7,1455,46.1,103,No Failure
9253,M24112,M,298.1,309,1533,36.1,189,No Failure
6738,M21597,M,301.7,311,1537,33.5,146,No Failure
6927,H36340,H,301.1,311.6,1417,53.4,0,No Failure
9903,H39316,H,298.7,309.3,1402,45.3,190,No Failure
1076,H30489,H,296.9,307.8,1345,54.5,172,No Failure
1321,M16180,M,299,310.3,1540,38.1,182,No Failure
7218,L54397,L,299.9,309.8,1716,28.2,117,No Failure
4209,M19068,M,302.3,310.9,1627,32.3,0,No Failure
759,L47938,L,296.8,308,1497,41.7,231,No Failure
5639,L52818,L,302.6,312.1,1519,38.1,178,No Failure
1307,L48486,L,298.8,310,1487,41.4,152,No Failure
7470,L54649,L,300.3,311.6,1607,33.5,109,No Failure
8664,L55843,L,297.5,308.6,1671,29.4,136,No Failure
7555,M22414,M,300.3,311.4,1371,50.2,109,No Failure
8103,L55282,L,300.3,311.8,1413,46,182,No Failure
7844,M22703,M,300.1,311.7,1400,48.5,205,No Failure
509,L47688,L,297.7,309.3,1893,24.6,15,No Failure
738,H30151,H,296.9,308.3,1474,39.2,177,No Failure
9068,L56247,L,297.1,308.2,1351,56.6,126,No Failure
2153,M17012,M,299.3,308.8,1648,28.4,188,No Failure
2096,L49275,L,299.4,309.3,1525,41.5,30,No Failure
9503,L56682,L,299.3,310.2,1495,49.2,16,No Failure
5084,L52263,L,304.1,313.1,1327,54.1,57,No Failure
5522,L52701,L,302.6,311.9,1397,46.9,82,No Failure
8445,M23304,M,298.6,309.9,1818,24.9,9,No Failure
8197,L55376,L,299.4,310.8,1622,33.6,217,No Failure
8441,L55620,L,298.6,309.8,1370,56,0,No Failure
6197,L53376,L,300.9,310.8,1701,30.4,55,No Failure
2056,L49235,L,299.6,309.4,1643,32.9,145,No Failure
9929,M24788,M,298.4,308.5,1576,27.4,55,No Failure
852,M15711,M,296.2,307.2,1389,48.6,7,No Failure
3534,L50713,L,302,311,1563,36.2,8,No Failure
2273,M17132,M,299.3,308.6,1448,52.1,71,No Failure
8831,H38244,H,297.3,308.7,1430,42.8,153,No Failure
2384,L49563,L,299.1,308.2,1568,33.3,123,No Failure
6726,M21585,M,301.5,310.7,1359,47.1,115,No Failure
9468,L56647,L,298.6,309.3,1702,27.6,143,No Failure
913,L48092,L,295.6,306,1569,40.4,174,No Failure
7303,L54482,L,300.1,310.5,1494,44.2,117,No Failure
665,L47844,L,297.5,308.9,1390,47.4,187,No Failure
7724,L54903,L,300.5,311.6,1730,30.2,106,No Failure
7971,M22830,M,300.9,312.1,1297,48.6,76,No Failure
5905,M20764,M,300.8,310.5,1330,59,190,No Failure
7924,M22783,M,300.8,312,1450,45,183,No Failure
8882,H38295,H,298,309.2,1520,37.9,89,No Failure
6400,M21259,M,300.1,309.6,1501,38,157,No Failure
376,L47555,L,297.4,308.2,1533,37.4,115,No Failure
3484,H32897,H,301.9,310.8,1455,42.7,85,No Failure
2296,L49475,L,299.4,308.7,1512,37.2,126,No Failure
2976,H32389,H,300.5,309.4,1360,46.2,93,No Failure
1139,L48318,L,296.9,307.9,1435,41.6,139,No Failure
103,L47282,L,298.8,308.8,1555,40.6,61,No Failure
2174,M17033,M,299.5,309.2,1495,41.6,17,No Failure
527,L47706,L,297.6,309.5,1373,50.6,55,No Failure
9378,H38791,H,297.7,308.3,1488,41,101,No Failure
3225,M18084,M,300.6,309.5,1557,33.8,84,No Failure
3134,H32547,H,300.2,309.6,1442,49.2,61,No Failure
4074,M18933,M,301.9,310.6,1412,46.5,89,No Failure
173,M15032,M,298.1,308,1924,20.8,29,No Failure
2069,M16928,M,299.7,309.6,1534,39.1,176,No Failure
601,L47780,L,297.8,309.7,1547,37.3,25,No Failure
